target,arena,arena_label,rank,substitute,probability,seed,eligible_sentences,sampled_sentences
agent,arxiv,arXiv (academic),1,system,0.083523526485922,11,2240,500
agent,arxiv,arXiv (academic),2,algorithm,0.07311246201349283,11,2240,500
agent,arxiv,arXiv (academic),3,individual,0.0718273166295903,11,2240,500
agent,arxiv,arXiv (academic),4,ai,0.06463657807123788,11,2240,500
agent,arxiv,arXiv (academic),5,model,0.04715263555968452,11,2240,500
agent,arxiv,arXiv (academic),6,robot,0.04556835580759692,11,2240,500
agent,arxiv,arXiv (academic),7,user,0.0333162232370554,11,2240,500
agent,arxiv,arXiv (academic),8,object,0.033190168710821,11,2240,500
agent,arxiv,arXiv (academic),9,organization,0.027385133871596457,11,2240,500
agent,arxiv,arXiv (academic),10,task,0.027148620917799956,11,2240,500
agent,arxiv,arXiv (academic),11,network,0.02581006352143219,11,2240,500
agent,arxiv,arXiv (academic),12,player,0.022135864442702147,11,2240,500
agent,arxiv,arXiv (academic),13,application,0.02192409012390628,11,2240,500
agent,arxiv,arXiv (academic),14,program,0.021426258529417385,11,2240,500
agent,arxiv,arXiv (academic),15,environment,0.021285950962473488,11,2240,500
agent,arxiv,arXiv (academic),16,computer,0.019856633235554172,11,2240,500
agent,arxiv,arXiv (academic),17,level,0.01854513151037543,11,2240,500
agent,arxiv,arXiv (academic),18,person,0.018310924807094977,11,2240,500
agent,arxiv,arXiv (academic),19,intelligence,0.016298987427220194,11,2240,500
agent,arxiv,arXiv (academic),20,brain,0.01615360759909271,11,2240,500
agent,arxiv,arXiv (academic),21,process,0.016111756513463343,11,2240,500
agent,arxiv,arXiv (academic),22,agency,0.015213871992034916,11,2240,500
agent,arxiv,arXiv (academic),23,game,0.013743292561827688,11,2240,500
agent,arxiv,arXiv (academic),24,channel,0.012971096782202039,11,2240,500
agent,arxiv,arXiv (academic),25,organism,0.012416265803137282,11,2240,500
agent,arxiv,arXiv (academic),26,human,0.012069273961194843,11,2240,500
agent,arxiv,arXiv (academic),27,operator,0.011634452553231808,11,2240,500
agent,arxiv,arXiv (academic),28,state,0.011606858081520031,11,2240,500
agent,arxiv,arXiv (academic),29,machine,0.011465585951045085,11,2240,500
agent,arxiv,arXiv (academic),30,participant,0.011023272518263797,11,2240,500
agent,arxiv,arXiv (academic),31,animal,0.01070076673128375,11,2240,500
agent,arxiv,arXiv (academic),32,student,0.010672353450030515,11,2240,500
agent,arxiv,arXiv (academic),33,agents,0.009658746453061652,11,2240,500
agent,arxiv,arXiv (academic),34,event,0.00926555624561539,11,2240,500
agent,arxiv,arXiv (academic),35,engine,0.008927909589417067,11,2240,500
agent,arxiv,arXiv (academic),36,platform,0.008651002806609116,11,2240,500
agent,arxiv,arXiv (academic),37,function,0.008530497421751843,11,2240,500
agent,arxiv,arXiv (academic),38,action,0.008059150397918304,11,2240,500
agent,arxiv,arXiv (academic),39,learning,0.008007721227332872,11,2240,500
agent,arxiv,arXiv (academic),40,actor,0.007969472140977431,11,2240,500
agent,arxiv,arXiv (academic),41,entity,0.007883051892166112,11,2240,500
agent,arxiv,arXiv (academic),42,software,0.007565557125667854,11,2240,500
agent,arxiv,arXiv (academic),43,factor,0.007388777519568385,11,2240,500
agent,arxiv,arXiv (academic),44,team,0.00732980845545906,11,2240,500
agent,arxiv,arXiv (academic),45,attack,0.007316698752195566,11,2240,500
agent,arxiv,arXiv (academic),46,party,0.007254764568447989,11,2240,500
agent,arxiv,arXiv (academic),47,group,0.0071836710188921135,11,2240,500
agent,arxiv,arXiv (academic),48,expert,0.007061308637414688,11,2240,500
agent,arxiv,arXiv (academic),49,variable,0.006917080902757858,11,2240,500
agent,arxiv,arXiv (academic),50,method,0.006791844481445556,11,2240,500
algorithm,NYT,New York Times (public news),1,program,0.13539199560460877,11,271,271
algorithm,NYT,New York Times (public news),2,system,0.12042797912189784,11,271,271
algorithm,NYT,New York Times (public news),3,software,0.05910384969925422,11,271,271
algorithm,NYT,New York Times (public news),4,technology,0.04070025625922753,11,271,271
algorithm,NYT,New York Times (public news),5,individual,0.028108921401812245,11,271,271
algorithm,NYT,New York Times (public news),6,engine,0.02548782585260266,11,271,271
algorithm,NYT,New York Times (public news),7,technique,0.024767225930582986,11,271,271
algorithm,NYT,New York Times (public news),8,computer,0.02436535050591267,11,271,271
algorithm,NYT,New York Times (public news),9,tool,0.023935469410945796,11,271,271
algorithm,NYT,New York Times (public news),10,application,0.023307511494265975,11,271,271
algorithm,NYT,New York Times (public news),11,ai,0.023205032545106384,11,271,271
algorithm,NYT,New York Times (public news),12,model,0.0207327487632942,11,271,271
algorithm,NYT,New York Times (public news),13,network,0.020075324428009887,11,271,271
algorithm,NYT,New York Times (public news),14,app,0.019734603140443112,11,271,271
algorithm,NYT,New York Times (public news),15,machine,0.018104082829395823,11,271,271
algorithm,NYT,New York Times (public news),16,approach,0.01758371498790385,11,271,271
algorithm,NYT,New York Times (public news),17,method,0.017559613248624022,11,271,271
algorithm,NYT,New York Times (public news),18,internet,0.017278515040603026,11,271,271
algorithm,NYT,New York Times (public news),19,interface,0.016146289985261228,11,271,271
algorithm,NYT,New York Times (public news),20,organization,0.015254461103141933,11,271,271
algorithm,NYT,New York Times (public news),21,project,0.014845981135677632,11,271,271
algorithm,NYT,New York Times (public news),22,email,0.014763308024248016,11,271,271
algorithm,NYT,New York Times (public news),23,expert,0.014725194213989483,11,271,271
algorithm,NYT,New York Times (public news),24,device,0.014578734178779251,11,271,271
algorithm,NYT,New York Times (public news),25,experiment,0.01396900861892873,11,271,271
algorithm,NYT,New York Times (public news),26,user,0.013830623329180983,11,271,271
algorithm,NYT,New York Times (public news),27,person,0.013647614151960625,11,271,271
algorithm,NYT,New York Times (public news),28,architecture,0.012832838788160526,11,271,271
algorithm,NYT,New York Times (public news),29,idea,0.012034695798214978,11,271,271
algorithm,NYT,New York Times (public news),30,engineer,0.011634329130331252,11,271,271
algorithm,NYT,New York Times (public news),31,word,0.011617007226966779,11,271,271
algorithm,NYT,New York Times (public news),32,ability,0.010834430334876313,11,271,271
algorithm,NYT,New York Times (public news),33,game,0.010505690966902178,11,271,271
algorithm,NYT,New York Times (public news),34,image,0.009919967892294575,11,271,271
algorithm,NYT,New York Times (public news),35,world,0.009806110473594544,11,271,271
algorithm,NYT,New York Times (public news),36,instrument,0.009523566787938607,11,271,271
algorithm,NYT,New York Times (public news),37,article,0.009354360059980584,11,271,271
algorithm,NYT,New York Times (public news),38,brain,0.009215836904432891,11,271,271
algorithm,NYT,New York Times (public news),39,code,0.009183033826517016,11,271,271
algorithm,NYT,New York Times (public news),40,process,0.008882663603266708,11,271,271
algorithm,NYT,New York Times (public news),41,information,0.008403583273128585,11,271,271
algorithm,NYT,New York Times (public news),42,engines,0.007521741436226439,11,271,271
algorithm,NYT,New York Times (public news),43,environment,0.007410207201168559,11,271,271
algorithm,NYT,New York Times (public news),44,company,0.007408242858042226,11,271,271
algorithm,NYT,New York Times (public news),45,agency,0.007369079228095717,11,271,271
algorithm,NYT,New York Times (public news),46,team,0.007274380390309726,11,271,271
algorithm,NYT,New York Times (public news),47,eye,0.0072520646758473745,11,271,271
algorithm,NYT,New York Times (public news),48,science,0.007222638317543426,11,271,271
algorithm,NYT,New York Times (public news),49,database,0.006738445380174119,11,271,271
algorithm,NYT,New York Times (public news),50,test,0.006423850440328504,11,271,271
algorithm,WSJ,Wall Street Journal (business news),1,system,0.1468224309574218,11,184,184
algorithm,WSJ,Wall Street Journal (business news),2,program,0.09484729625357287,11,184,184
algorithm,WSJ,Wall Street Journal (business news),3,software,0.061408149047479654,11,184,184
algorithm,WSJ,Wall Street Journal (business news),4,ai,0.04863051796927312,11,184,184
algorithm,WSJ,Wall Street Journal (business news),5,technology,0.04037145367889952,11,184,184
algorithm,WSJ,Wall Street Journal (business news),6,computer,0.037788588615462054,11,184,184
algorithm,WSJ,Wall Street Journal (business news),7,app,0.031954972320223346,11,184,184
algorithm,WSJ,Wall Street Journal (business news),8,approach,0.02784148238499869,11,184,184
algorithm,WSJ,Wall Street Journal (business news),9,machine,0.02443486326629102,11,184,184
algorithm,WSJ,Wall Street Journal (business news),10,application,0.022218151315491402,11,184,184
algorithm,WSJ,Wall Street Journal (business news),11,idea,0.0219235423198033,11,184,184
algorithm,WSJ,Wall Street Journal (business news),12,user,0.020840546096068835,11,184,184
algorithm,WSJ,Wall Street Journal (business news),13,engine,0.02074223878423399,11,184,184
algorithm,WSJ,Wall Street Journal (business news),14,plan,0.020207910923253258,11,184,184
algorithm,WSJ,Wall Street Journal (business news),15,model,0.02013782385490004,11,184,184
algorithm,WSJ,Wall Street Journal (business news),16,opponent,0.018923853935688788,11,184,184
algorithm,WSJ,Wall Street Journal (business news),17,process,0.01781502579506797,11,184,184
algorithm,WSJ,Wall Street Journal (business news),18,game,0.01747761567696836,11,184,184
algorithm,WSJ,Wall Street Journal (business news),19,code,0.017373088531531692,11,184,184
algorithm,WSJ,Wall Street Journal (business news),20,technique,0.01597461422034952,11,184,184
algorithm,WSJ,Wall Street Journal (business news),21,tool,0.01454740069707689,11,184,184
algorithm,WSJ,Wall Street Journal (business news),22,experiment,0.012882917815283442,11,184,184
algorithm,WSJ,Wall Street Journal (business news),23,individual,0.012839773394248376,11,184,184
algorithm,WSJ,Wall Street Journal (business news),24,method,0.012040154619957145,11,184,184
algorithm,WSJ,Wall Street Journal (business news),25,company,0.011795164552615445,11,184,184
algorithm,WSJ,Wall Street Journal (business news),26,image,0.01144288194070646,11,184,184
algorithm,WSJ,Wall Street Journal (business news),27,device,0.011277214620681441,11,184,184
algorithm,WSJ,Wall Street Journal (business news),28,problem,0.011148919538511269,11,184,184
algorithm,WSJ,Wall Street Journal (business news),29,team,0.010475199694478066,11,184,184
algorithm,WSJ,Wall Street Journal (business news),30,interface,0.010385555128654073,11,184,184
algorithm,WSJ,Wall Street Journal (business news),31,initiative,0.010185623481891785,11,184,184
algorithm,WSJ,Wall Street Journal (business news),32,thing,0.009595598253909546,11,184,184
algorithm,WSJ,Wall Street Journal (business news),33,project,0.009468874831528794,11,184,184
algorithm,WSJ,Wall Street Journal (business news),34,platform,0.009045740807581172,11,184,184
algorithm,WSJ,Wall Street Journal (business news),35,network,0.009045259438496767,11,184,184
algorithm,WSJ,Wall Street Journal (business news),36,systems,0.008994090886634606,11,184,184
algorithm,WSJ,Wall Street Journal (business news),37,website,0.008536878375805745,11,184,184
algorithm,WSJ,Wall Street Journal (business news),38,organization,0.008412530969459415,11,184,184
algorithm,WSJ,Wall Street Journal (business news),39,research,0.007957366806827772,11,184,184
algorithm,WSJ,Wall Street Journal (business news),40,algorithms,0.007955022467139342,11,184,184
algorithm,WSJ,Wall Street Journal (business news),41,brain,0.007152353887585433,11,184,184
algorithm,WSJ,Wall Street Journal (business news),42,agent,0.007111808935052766,11,184,184
algorithm,WSJ,Wall Street Journal (business news),43,data,0.006817160221449542,11,184,184
algorithm,WSJ,Wall Street Journal (business news),44,technologies,0.006772207056229665,11,184,184
algorithm,WSJ,Wall Street Journal (business news),45,expert,0.006749536125646879,11,184,184
algorithm,WSJ,Wall Street Journal (business news),46,attempt,0.006238932143920999,11,184,184
algorithm,WSJ,Wall Street Journal (business news),47,robot,0.006018312305887114,11,184,184
algorithm,WSJ,Wall Street Journal (business news),48,users,0.0059700542948304056,11,184,184
algorithm,WSJ,Wall Street Journal (business news),49,industry,0.00590714168544426,11,184,184
algorithm,WSJ,Wall Street Journal (business news),50,ability,0.005496159075486689,11,184,184
algorithm,arxiv,arXiv (academic),1,model,0.13188109526567596,11,3353,500
algorithm,arxiv,arXiv (academic),2,method,0.10335559080828705,11,3353,500
algorithm,arxiv,arXiv (academic),3,system,0.07855755404130002,11,3353,500
algorithm,arxiv,arXiv (academic),4,approach,0.07039228050206697,11,3353,500
algorithm,arxiv,arXiv (academic),5,technique,0.055897802652935036,11,3353,500
algorithm,arxiv,arXiv (academic),6,program,0.030332493980087184,11,3353,500
algorithm,arxiv,arXiv (academic),7,algorithms,0.027035036489340546,11,3353,500
algorithm,arxiv,arXiv (academic),8,process,0.02644356485993409,11,3353,500
algorithm,arxiv,arXiv (academic),9,problem,0.025727801873585022,11,3353,500
algorithm,arxiv,arXiv (academic),10,software,0.021601453369665374,11,3353,500
algorithm,arxiv,arXiv (academic),11,step,0.020846811189675553,11,3353,500
