arena,target,decision_reason,sentences
NYT,agent,ELIGIBLE_AI_CONTEXT,69
NYT,agent,EXPLICIT_NON_AI_SENSE,52
NYT,agent,NO_AI_CONTEXT_CUE,227
NYT,algorithm,ELIGIBLE_AI_CONTEXT,271
NYT,algorithm,NO_AI_CONTEXT_CUE,1061
NYT,alignment,ELIGIBLE_AI_CONTEXT,32
NYT,alignment,NO_AI_CONTEXT_CUE,66
NYT,autonomy,ELIGIBLE_AI_CONTEXT,50
NYT,autonomy,NO_AI_CONTEXT_CUE,261
NYT,bias,ELIGIBLE_AI_CONTEXT,219
NYT,bias,NO_AI_CONTEXT_CUE,465
NYT,capability,ELIGIBLE_AI_CONTEXT,51
NYT,capability,NO_AI_CONTEXT_CUE,181
NYT,control,ELIGIBLE_AI_CONTEXT,423
NYT,control,EXPLICIT_NON_AI_SENSE,42
NYT,control,NO_AI_CONTEXT_CUE,2596
NYT,creativity,ELIGIBLE_AI_CONTEXT,113
NYT,creativity,NO_AI_CONTEXT_CUE,335
NYT,decision,ELIGIBLE_AI_CONTEXT,206
NYT,decision,NO_AI_CONTEXT_CUE,1717
NYT,fairness,ELIGIBLE_AI_CONTEXT,24
NYT,fairness,NO_AI_CONTEXT_CUE,84
NYT,generation,ELIGIBLE_AI_CONTEXT,319
NYT,generation,NO_AI_CONTEXT_CUE,1144
NYT,intelligence,ELIGIBLE_AI_CONTEXT,12402
NYT,intelligence,EXPLICIT_NON_AI_SENSE,406
NYT,intelligence,NO_AI_CONTEXT_CUE,2296
NYT,learning,ELIGIBLE_AI_CONTEXT,2237
NYT,learning,EXPLICIT_NON_AI_SENSE,30
NYT,learning,NO_AI_CONTEXT_CUE,1541
NYT,model,ELIGIBLE_AI_CONTEXT,872
NYT,model,NO_AI_CONTEXT_CUE,2018
NYT,network,ELIGIBLE_AI_CONTEXT,671
NYT,network,EXPLICIT_NON_AI_SENSE,44
NYT,network,NO_AI_CONTEXT_CUE,1957
NYT,prediction,ELIGIBLE_AI_CONTEXT,63
NYT,prediction,NO_AI_CONTEXT_CUE,284
NYT,reasoning,ELIGIBLE_AI_CONTEXT,118
NYT,reasoning,NO_AI_CONTEXT_CUE,171
NYT,representation,ELIGIBLE_AI_CONTEXT,11
NYT,representation,NO_AI_CONTEXT_CUE,115
NYT,risk,ELIGIBLE_AI_CONTEXT,334
NYT,risk,NO_AI_CONTEXT_CUE,2283
NYT,safety,ELIGIBLE_AI_CONTEXT,452
NYT,safety,NO_AI_CONTEXT_CUE,1450
NYT,system,ELIGIBLE_AI_CONTEXT,1521
NYT,system,NO_AI_CONTEXT_CUE,5202
NYT,training,ELIGIBLE_AI_CONTEXT,457
NYT,training,EXPLICIT_NON_AI_SENSE,11
