target,arena,extracted_sentences,eligible_sentences,phrase_adjusted_sentences,removed_non_ai,minimum_required,sample_cap,sampled_if_run,threshold_met,missing_reason
agent,NYT,348,69,9,279,100,500,69,False,BELOW_MINIMUM
agent,WSJ,215,48,15,167,100,500,48,False,BELOW_MINIMUM
agent,arxiv,26372,2240,159,24132,100,500,500,True,
algorithm,NYT,1332,271,0,1061,100,500,271,True,
algorithm,WSJ,777,184,0,593,100,500,184,True,
algorithm,arxiv,51951,3353,0,48598,100,500,500,True,
alignment,NYT,98,32,0,66,100,500,32,False,BELOW_MINIMUM
alignment,WSJ,31,13,0,18,100,500,13,False,BELOW_MINIMUM
alignment,arxiv,2346,295,0,2051,100,500,295,True,
autonomy,NYT,311,50,0,261,100,500,50,False,BELOW_MINIMUM
autonomy,WSJ,159,44,0,115,100,500,44,False,BELOW_MINIMUM
autonomy,arxiv,477,103,0,374,100,500,103,True,
bias,NYT,684,219,0,465,100,500,219,True,
bias,WSJ,257,96,0,161,100,500,96,False,BELOW_MINIMUM
bias,arxiv,5008,703,0,4305,100,500,500,True,
capability,NYT,232,51,0,181,100,500,51,False,BELOW_MINIMUM
capability,WSJ,178,54,0,124,100,500,54,False,BELOW_MINIMUM
capability,arxiv,1985,339,0,1646,100,500,339,True,
control,NYT,3061,423,0,2638,100,500,423,True,
control,WSJ,1507,256,0,1251,100,500,256,True,
control,arxiv,11238,1583,0,9655,100,500,500,True,
creativity,NYT,448,113,0,335,100,500,113,True,
creativity,WSJ,163,47,0,116,100,500,47,False,BELOW_MINIMUM
creativity,arxiv,541,208,0,333,100,500,208,True,
decision,NYT,1923,206,0,1717,100,500,206,True,
decision,WSJ,950,174,0,776,100,500,174,True,
decision,arxiv,17278,2052,0,15226,100,500,500,True,
fairness,NYT,108,24,0,84,100,500,24,False,BELOW_MINIMUM
fairness,WSJ,58,16,0,42,100,500,16,False,BELOW_MINIMUM
fairness,arxiv,2419,485,0,1934,100,500,485,True,
generation,NYT,1463,319,0,1144,100,500,319,True,
generation,WSJ,974,273,0,701,100,500,273,True,
generation,arxiv,8345,1261,0,7084,100,500,500,True,
intelligence,NYT,15104,12402,12006,2702,100,500,500,True,
intelligence,WSJ,8959,6537,5710,2422,100,500,500,True,
intelligence,arxiv,7171,3936,2475,3235,100,500,500,True,
learning,NYT,3808,2237,1802,1571,100,500,500,True,
learning,WSJ,2677,1747,1381,930,100,500,500,True,
learning,arxiv,56723,20874,16425,35849,100,500,500,True,
model,NYT,2890,872,375,2018,100,500,500,True,
model,WSJ,1910,654,166,1256,100,500,500,True,
model,arxiv,91758,11613,1869,80145,100,500,500,True,
network,NYT,2672,671,423,2001,100,500,500,True,
network,WSJ,1246,235,58,1011,100,500,235,True,
network,arxiv,35375,9774,6976,25601,100,500,500,True,
prediction,NYT,347,63,0,284,100,500,63,False,BELOW_MINIMUM
prediction,WSJ,140,30,0,110,100,500,30,False,BELOW_MINIMUM
prediction,arxiv,12987,1628,0,11359,100,500,500,True,
reasoning,NYT,289,118,0,171,100,500,118,True,
reasoning,WSJ,172,65,0,107,100,500,65,False,BELOW_MINIMUM
reasoning,arxiv,8680,1161,0,7519,100,500,500,True,
representation,NYT,126,11,0,115,100,500,11,False,BELOW_MINIMUM
representation,WSJ,40,7,0,33,100,500,7,False,BELOW_MINIMUM
representation,arxiv,15214,1373,0,13841,100,500,500,True,
risk,NYT,2617,334,0,2283,100,500,334,True,
risk,WSJ,1691,318,0,1373,100,500,318,True,
risk,arxiv,4613,520,0,4093,100,500,500,True,
safety,NYT,1902,452,0,1450,100,500,452,True,
safety,WSJ,1002,284,0,718,100,500,284,True,
safety,arxiv,2212,424,0,1788,100,500,424,True,
system,NYT,6723,1521,0,5202,100,500,500,True,
system,WSJ,3389,764,0,2625,100,500,500,True,
system,arxiv,36738,4468,0,32270,100,500,500,True,
training,NYT,1780,457,0,1323,100,500,457,True,
training,WSJ,1045,449,0,596,100,500,449,True,
training,arxiv,35270,5810,0,29460,100,500,500,True,
understanding,NYT,1126,233,0,893,100,500,233,True,
understanding,WSJ,463,136,0,327,100,500,136,True,
understanding,arxiv,4969,958,0,4011,100,500,500,True,
