arena,target,extracted_sentences,eligible_sentences,phrase_adjusted_sentences,removed_non_ai
NYT,agent,348,69,9,279
WSJ,agent,215,48,15,167
arxiv,agent,26372,2240,159,24132
NYT,algorithm,1332,271,0,1061
WSJ,algorithm,777,184,0,593
arxiv,algorithm,51951,3353,0,48598
NYT,alignment,98,32,0,66
WSJ,alignment,31,13,0,18
arxiv,alignment,2346,295,0,2051
NYT,autonomy,311,50,0,261
WSJ,autonomy,159,44,0,115
arxiv,autonomy,477,103,0,374
NYT,bias,684,219,0,465
WSJ,bias,257,96,0,161
arxiv,bias,5008,703,0,4305
NYT,capability,232,51,0,181
WSJ,capability,178,54,0,124
arxiv,capability,1985,339,0,1646
NYT,control,3061,423,0,2638
WSJ,control,1507,256,0,1251
arxiv,control,11238,1583,0,9655
NYT,creativity,448,113,0,335
WSJ,creativity,163,47,0,116
arxiv,creativity,541,208,0,333
NYT,decision,1923,206,0,1717
WSJ,decision,950,174,0,776
arxiv,decision,17278,2052,0,15226
NYT,fairness,108,24,0,84
WSJ,fairness,58,16,0,42
arxiv,fairness,2419,485,0,1934
NYT,generation,1463,319,0,1144
WSJ,generation,974,273,0,701
arxiv,generation,8345,1261,0,7084
NYT,intelligence,15104,12402,12006,2702
WSJ,intelligence,8959,6537,5710,2422
arxiv,intelligence,7171,3936,2475,3235
NYT,learning,3808,2237,1802,1571
WSJ,learning,2677,1747,1381,930
arxiv,learning,56723,20874,16425,35849
NYT,model,2890,872,375,2018
WSJ,model,1910,654,166,1256
arxiv,model,91758,11613,1869,80145
NYT,network,2672,671,423,2001
WSJ,network,1246,235,58,1011
arxiv,network,35375,9774,6976,25601
NYT,prediction,347,63,0,284
WSJ,prediction,140,30,0,110
arxiv,prediction,12987,1628,0,11359
NYT,reasoning,289,118,0,171
WSJ,reasoning,172,65,0,107
arxiv,reasoning,8680,1161,0,7519
NYT,representation,126,11,0,115
WSJ,representation,40,7,0,33
arxiv,representation,15214,1373,0,13841
NYT,risk,2617,334,0,2283
WSJ,risk,1691,318,0,1373
arxiv,risk,4613,520,0,4093
NYT,safety,1902,452,0,1450
WSJ,safety,1002,284,0,718
arxiv,safety,2212,424,0,1788
NYT,system,6723,1521,0,5202
WSJ,system,3389,764,0,2625
arxiv,system,36738,4468,0,32270
NYT,training,1780,457,0,1323
WSJ,training,1045,449,0,596
arxiv,training,35270,5810,0,29460
NYT,understanding,1126,233,0,893
WSJ,understanding,463,136,0,327
arxiv,understanding,4969,958,0,4011
