word,is_target,arena,extracted_sentences,eligible_sentences,seed,sampled_sentences,minimum_required,threshold_met,profile_status,missing_reason,model_used
agent,True,NYT,348,69,11,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
agent,True,NYT,348,69,22,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
agent,True,NYT,348,69,33,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
agent,True,NYT,348,69,44,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
agent,True,NYT,348,69,55,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
algorithm,True,NYT,1332,271,11,271,100,True,OK,,265
algorithm,True,NYT,1332,271,22,271,100,True,OK,,265
algorithm,True,NYT,1332,271,33,271,100,True,OK,,265
algorithm,True,NYT,1332,271,44,271,100,True,OK,,265
algorithm,True,NYT,1332,271,55,271,100,True,OK,,265
alignment,True,NYT,98,32,11,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
alignment,True,NYT,98,32,22,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
alignment,True,NYT,98,32,33,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
alignment,True,NYT,98,32,44,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
alignment,True,NYT,98,32,55,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
autonomy,True,NYT,311,50,11,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
autonomy,True,NYT,311,50,22,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
autonomy,True,NYT,311,50,33,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
autonomy,True,NYT,311,50,44,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
autonomy,True,NYT,311,50,55,0,100,False,NO_AI_CONTEXT,NO_AI_CONTEXT,0
bias,True,NYT,684,219,11,219,100,True,OK,,205
bias,True,NYT,684,219,22,219,100,True,OK,,205
