target,arena_a,arena_b,target_freq_a,target_freq_b,n_matched_controls,n_selected_controls,selected_controls,pre_profile_flag
agent,NYT,WSJ,356,210,52,52,alert; austin; automate; boss; brings; broadly; carnegie; chess; click; confident; debut; disclose; earned; economies; encouraging; errors; exports; facility; focuses; gaming; glass; grocery; improvements; incentives; innovations; innovative; installed; meaningful; mellon; mexico; minds; miss; payment; pitch; pool; preparing; principles; prompts; requiring; settings; sharply; shifting; similarly; statements; statistics; steady; subscription; surface; tells; treat; update; yahoo,LIMITED
agent,NYT,arxiv,356,28070,0,0,,VERY_SMALL
agent,WSJ,arxiv,210,28070,0,0,,VERY_SMALL
algorithm,NYT,WSJ,1340,782,31,31,drive; engineering; form; giving; helping; july; paid; posted; pressure; push; range; reach; regulators; remains; require; return; running; shift; single; smaller; sold; staff; starting; success; terms; testing; track; train; uber; wants; worth,LIMITED
algorithm,NYT,arxiv,1340,58419,0,0,,VERY_SMALL
algorithm,WSJ,arxiv,782,58419,0,0,,VERY_SMALL
alignment,NYT,WSJ,102,31,132,100,sunny; trolls; zoo; heels; harbor; scroll; leather; instrument; permitted; occasion; scrambled; declaration; caregivers; influencer; fever; commonplace; cables; longevity; separated; raymond; philanthropic; barrett; norway; hungary; trauma; porn; rendered; unwanted; silly; constructed; parental; abused; lina; brutal; broadcasting; baked; detectors; encounters; spies; argentina; inherently; genetics; infected; nod; discern; liberation; emeritus; st-century; factual; jimmy; absurd; bullying; infrared; exponentially; ideology; manifesto; venue; evaluated; forged; pretend; victoria; extensively; refined; roy; censor; hunger; runner; submarine; helen; residence; intriguing; sand; illusion; glad; portable; margaret; realities; luke; shutdown; reservation; guards; qatar; disciplines; jail; registration; nbc; yard; undercut; coherent; critique; spying; concessions; geometry; sons; pleasure; risc-v; summers; charitable; bent; therapists,FULL
alignment,NYT,arxiv,102,2514,11,11,assuming; da; ensemble; evaluating; illustrate; maximize; measurements; satisfying; schemes; setup; simulations,SMALL
alignment,WSJ,arxiv,31,2514,8,8,ct; mi; partially; prop; selecting; static; symbols; variants,VERY_SMALL
autonomy,NYT,WSJ,316,159,90,90,academics; affordable; anywhere; approaches; augmented; barely; breakthrough; calendar; chase; colleges; contain; dealing; departments; depending; designing; differences; earn; ease; elements; emotions; entered; entering; evolution; excited; experimenting; express; extend; farmers; fee; files; finds; finished; flag; follows; foods; foot; formed; fortune; founding; generates; genetic; high-profile; interaction; involve; laptop; larry; lucrative; memo; mention; merely; mid; minority; missiles; narrow; networking; newly; ohio; ok; opposite; optimism; ordered; pittsburgh; plane; pose; prefer; presentation; produces; prospect; purposes; racing; raises; remotely; retired; risky; roads; santa; sarah; scans; sensor; skin; snapchat; somewhat; stepped; substantial; theme; threatened; tone; usual; vaccine; veteran,LIMITED
autonomy,NYT,arxiv,316,505,18,18,ages; assistance; bodies; buyers; careful; clips; cohen; educational; imagery; pitch; raises; remarks; serving; slowly; tells; totally; visits; williams,SMALL
autonomy,WSJ,arxiv,159,505,16,16,actively; asks; copyright; desire; dna; dog; marks; nearby; picked; raises; recommend; retain; rooms; routine; standing; traditionally,SMALL
