seed,word,arena_a,arena_b,comparison,jsd,scaled_jsd,n_matched_controls,n_selected_controls,n_valid_controls,control_set_flag
11,algorithm,NYT,WSJ,NYT–WSJ,0.1874303646398109,0.3870967741935484,31,31,31,LIMITED
11,algorithm,NYT,arxiv,NYT–arxiv,0.5022955616416707,,0,0,0,VERY_SMALL
11,algorithm,WSJ,arxiv,WSJ–arxiv,0.48484248860104034,,0,0,0,VERY_SMALL
11,bias,NYT,arxiv,NYT–arxiv,0.5812637542738429,0.4444444444444444,9,9,9,VERY_SMALL
11,control,NYT,WSJ,NYT–WSJ,0.4513980374179061,1.0,18,18,18,SMALL
11,control,NYT,arxiv,NYT–arxiv,0.7915018093745063,,0,0,0,VERY_SMALL
11,control,WSJ,arxiv,WSJ–arxiv,0.7877026910404634,1.0,4,4,4,VERY_SMALL
11,creativity,NYT,arxiv,NYT–arxiv,0.5819118380901541,0.44,25,25,25,SMALL
11,decision,NYT,WSJ,NYT–WSJ,0.5185841769533558,0.967741935483871,31,31,31,LIMITED
11,decision,NYT,arxiv,NYT–arxiv,0.8832761139120827,1.0,4,4,4,VERY_SMALL
11,decision,WSJ,arxiv,WSJ–arxiv,0.7973918215838409,1.0,2,2,2,VERY_SMALL
11,generation,NYT,WSJ,NYT–WSJ,0.39857745231362873,1.0,33,33,33,LIMITED
11,generation,NYT,arxiv,NYT–arxiv,0.8408632682967312,0.9,10,10,10,SMALL
11,generation,WSJ,arxiv,WSJ–arxiv,0.6123336686760155,0.6666666666666666,9,9,9,VERY_SMALL
11,intelligence,NYT,WSJ,NYT–WSJ,0.1839923504434993,0.75,8,8,8,VERY_SMALL
11,intelligence,NYT,arxiv,NYT–arxiv,0.51888460932547,1.0,1,1,1,VERY_SMALL
11,intelligence,WSJ,arxiv,WSJ–arxiv,0.45949966804382836,0.0,1,1,1,VERY_SMALL
11,learning,NYT,WSJ,NYT–WSJ,0.16040410965638613,0.4,10,10,10,SMALL
11,learning,NYT,arxiv,NYT–arxiv,0.40013004120626405,,0,0,0,VERY_SMALL
11,learning,WSJ,arxiv,WSJ–arxiv,0.5078787336105672,,0,0,0,VERY_SMALL
11,model,NYT,WSJ,NYT–WSJ,0.16570133590924396,1.0,4,4,4,VERY_SMALL
11,model,NYT,arxiv,NYT–arxiv,0.4324887333699532,,0,0,0,VERY_SMALL
11,model,WSJ,arxiv,WSJ–arxiv,0.5146346728987419,,0,0,0,VERY_SMALL
11,network,NYT,WSJ,NYT–WSJ,0.4259902387715444,0.92,25,25,25,SMALL
11,network,NYT,arxiv,NYT–arxiv,0.48357423508694525,,0,0,0,VERY_SMALL
11,network,WSJ,arxiv,WSJ–arxiv,0.6664270719581851,0.5,2,2,2,VERY_SMALL
11,reasoning,NYT,arxiv,NYT–arxiv,0.4827938129443049,0.0,2,2,2,VERY_SMALL
11,risk,NYT,WSJ,NYT–WSJ,0.2940451368516283,0.8666666666666667,15,15,15,SMALL
11,risk,NYT,arxiv,NYT–arxiv,0.4430284409536771,0.6666666666666666,6,6,6,VERY_SMALL
11,risk,WSJ,arxiv,WSJ–arxiv,0.3839634566601528,0.16666666666666666,6,6,6,VERY_SMALL
11,safety,NYT,WSJ,NYT–WSJ,0.30947479616934953,0.8275862068965517,29,29,29,SMALL
11,safety,NYT,arxiv,NYT–arxiv,0.4232445709246282,0.25,8,8,8,VERY_SMALL
11,safety,WSJ,arxiv,WSJ–arxiv,0.34090126743772564,0.42857142857142855,7,7,7,VERY_SMALL
11,system,NYT,WSJ,NYT–WSJ,0.10630978595419235,0.18181818181818182,11,11,11,SMALL
11,system,NYT,arxiv,NYT–arxiv,0.23329619135505042,0.0,1,1,1,VERY_SMALL
11,system,WSJ,arxiv,WSJ–arxiv,0.22805203720047934,0.0,1,1,1,VERY_SMALL
