target,arena,arena_label,seed,eligible_sentences,sampled_sentences,similarity_past,similarity_future,similarity_machine,similarity_beyond,temporality_future_minus_past,ontology_beyond_minus_machine
algorithm,NYT,New York Times (public news),11,271,271,0.3818460235228998,0.4165131825554334,0.6124385613083638,0.4911798129545181,0.03466715903253359,-0.1212587483538457
bias,NYT,New York Times (public news),11,219,219,0.36950528151501943,0.36423635418628786,0.4233332706711197,0.4455541607070493,-0.005268927328731576,0.022220890035929586
control,NYT,New York Times (public news),11,423,423,0.3920155413406148,0.4189328572794205,0.4611612280017197,0.46320513231596444,0.026917315938805697,0.0020439043142447266
creativity,NYT,New York Times (public news),11,113,113,0.3936106597760308,0.4133169431598243,0.4776414832592686,0.5407925643539968,0.019706283383793488,0.06315108109472822
decision,NYT,New York Times (public news),11,206,206,0.39530874890937434,0.4349186189252357,0.4506286865688421,0.4745511932490899,0.03960987001586136,0.023922506680247813
generation,NYT,New York Times (public news),11,319,319,0.40817148586014607,0.40818660878252816,0.45133338054293604,0.4337605830103414,1.5122922382093673e-05,-0.01757279753259461
intelligence,NYT,New York Times (public news),11,12402,500,0.37419051117568897,0.42404680395369804,0.5778563236460699,0.4865383433626114,0.04985629277800907,-0.09131798028345844
learning,NYT,New York Times (public news),11,2237,500,0.3731029145544775,0.4141905160899467,0.586087371182058,0.4847777735462096,0.0410876015354692,-0.1013095976358484
model,NYT,New York Times (public news),11,872,500,0.38776284010508916,0.4183880934205591,0.6030088751069947,0.4870422591109412,0.030625253315469947,-0.11596661599605357
network,NYT,New York Times (public news),11,671,500,0.3822498130366009,0.40734254570691814,0.5661172327038257,0.5075412291239805,0.025092732670317253,-0.05857600357984527
reasoning,NYT,New York Times (public news),11,118,118,0.3777400744076402,0.40899585872396466,0.5063148716388376,0.5329021444589012,0.031255784316324475,0.026587272820063568
risk,NYT,New York Times (public news),11,334,334,0.36369604742824424,0.43848928107386803,0.42717502658933715,0.4385210935555535,0.07479323364562379,0.011346066966216373
safety,NYT,New York Times (public news),11,452,452,0.37944786599776764,0.4140295520015854,0.48453843962173204,0.49317361530783965,0.03458168600381778,0.00863517568610761
system,NYT,New York Times (public news),11,1521,500,0.3807989423325683,0.42021644447759154,0.6180317561436709,0.48351406495691684,0.039417502145023264,-0.13451769118675405
training,NYT,New York Times (public news),11,457,457,0.3909012994510404,0.4296517318245802,0.5278081429768408,0.4588189294907178,0.03875043237353981,-0.06898921348612297
understanding,NYT,New York Times (public news),11,233,233,0.38739994570426023,0.41562427779613365,0.511849955672264,0.5020587834696361,0.028224332091873416,-0.009791172202627929
