word,is_target,arena,extracted_sentences,eligible_sentences,seed,sampled_sentences,minimum_required,threshold_met,profile_status,missing_reason,model_used
able,False,NYT,3128,500,11,500,100,True,OK,,491
abroad,False,NYT,496,496,11,496,100,True,OK,,493
absurd,False,NYT,101,101,11,101,100,True,OK,,101
abused,False,NYT,112,112,11,112,100,True,OK,,112
abusive,False,NYT,102,102,11,102,100,True,OK,,102
academics,False,NYT,327,327,11,327,100,True,OK,,326
accompanied,False,NYT,140,140,11,140,100,True,OK,,139
accomplished,False,NYT,103,103,11,103,100,True,OK,,102
accustomed,False,NYT,107,107,11,107,100,True,OK,,107
acted,False,NYT,128,128,11,128,100,True,OK,,128
actively,False,NYT,235,235,11,235,100,True,OK,,234
activism,False,NYT,119,119,11,119,100,True,OK,,119
adapt,False,NYT,302,302,11,302,100,True,OK,,295
add,False,NYT,1020,500,11,500,100,True,OK,,488
added,False,NYT,3938,500,11,500,100,True,OK,,498
adjust,False,NYT,252,252,11,252,100,True,OK,,249
adjusting,False,NYT,115,115,11,115,100,True,OK,,115
admissions,False,NYT,110,110,11,110,100,True,OK,,105
adults,False,NYT,428,428,11,428,100,True,OK,,416
advanced,False,NYT,2424,500,11,500,100,True,OK,,490
advantages,False,NYT,236,236,11,236,100,True,OK,,236
advertisements,False,NYT,117,117,11,117,100,True,OK,,117
advisory,False,NYT,254,254,11,254,100,True,OK,,254
affect,False,NYT,652,500,11,500,100,True,OK,,497
affordable,False,NYT,335,335,11,335,100,True,OK,,334
africa,False,NYT,444,444,11,444,100,True,OK,,426
after,False,NYT,14137,500,11,500,100,True,OK,,492
age,False,NYT,1767,500,11,500,100,True,OK,,491
ages,False,NYT,306,306,11,306,100,True,OK,,298
aggressive,False,NYT,713,500,11,500,100,True,OK,,498
aging,False,NYT,310,310,11,310,100,True,OK,,301
agree,False,NYT,662,500,11,500,100,True,OK,,495
agreement,False,NYT,1092,500,11,500,100,True,OK,,492
agreements,False,NYT,408,408,11,408,100,True,OK,,405
aircraft,False,NYT,451,451,11,451,100,True,OK,,433
alert,False,NYT,341,341,11,341,100,True,OK,,336
all,False,NYT,15641,500,11,500,100,True,OK,,484
alliance,False,NYT,733,500,11,500,100,True,OK,,489
allow,False,NYT,1796,500,11,500,100,True,OK,,494
allowed,False,NYT,1082,500,11,500,100,True,OK,,493
allows,False,NYT,990,500,11,500,100,True,OK,,496
almost,False,NYT,2568,500,11,500,100,True,OK,,495
alone,False,NYT,1102,500,11,500,100,True,OK,,499
along,False,NYT,2120,500,11,500,100,True,OK,,497
alongside,False,NYT,660,500,11,500,100,True,OK,,500
altman,False,NYT,1822,500,11,500,100,True,OK,,492
aluminum,False,NYT,100,100,11,100,100,True,OK,,99
america,False,NYT,3155,500,11,500,100,True,OK,,490
amount,False,NYT,1143,500,11,500,100,True,OK,,495
amounts,False,NYT,1066,500,11,500,100,True,OK,,496
analyzed,False,NYT,325,325,11,325,100,True,OK,,325
andrew,False,NYT,671,500,11,500,100,True,OK,,493
animal,False,NYT,435,435,11,435,100,True,OK,,417
announced,False,NYT,2703,500,11,500,100,True,OK,,500
answer,False,NYT,1717,500,11,500,100,True,OK,,485
